,price,floor_level,bedroom_amount,net_area,district,address,misc,facility,url_desc
811,9550000,H,3,517,Diamond Hill / San Po Kong / Ngau Chi Wan,3 Lung Poon Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Kowloon-Diamond-Hill-Galaxia-Block-D-Higher-Floor-Flat-3-M200622496
812,9100000,M,2,702,Tung Chung,1 Ying Hong Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-Tung-Chung-The-Visionary-Tower-02-Middle-Floor-Flat-C-M350192149
813,5600000,L,2,454,Sham Tseng / Tsing Lung Tau,18 Castle Peak Road Tsing Lung Tau,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Sham-Tseng-Tsing-Lung-Tau-Sea-Crest-Villa-Phase-1-Block-03-Lower-Floor-Flat-B-M301277986
814,5800000,M,2,451,Tsing Yi,1 Tsing Yi Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/New-Territories-Tsing-Yi-Rambler-Crest-Tower-1-Middle-Floor-Flat-H-M302228709
815,7900000,L,2,466,Hang Hau,8 Chung Wa Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Kowloon-Hang-Hau-East-Point-City-Block-6-Lower-Floor-Flat-G-M200135054
816,9000000,L,2,480,Taikoo / Sai Wan Ho,39 Tai Hong Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00013', 'name': 'Garden'}, {'id': 'MISCF00014', 'name': 'Terrace'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Sai-Wan-Ho-Lei-King-Wan-Site-C-Yee-Cheung-Mansion-Lower-Floor-Flat-F-M100348151
817,40000000,M,3,1340,Residence Bel-Air / Pokfulam,8 Bel-Air Peak Avenue,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Residence-Bel-Air-Residence-Bel-Air-Phase-6-Bel-Air-No-8-Block-8B-Middle-Floor-Flat-A-M100267826
818,7200000,M,2,361,To Kwa Wan,38 San Ma Tau Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Kowloon-To-Kwa-Wan-Grand-Waterfront-Block-2-Middle-Floor-Flat-H-M200473150
819,6000000,M,2,370,Yuen Long,99A Tai Tong Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Sereno-Verde-Phase-5-Reach-Summit-Tower-2-Middle-Floor-Flat-C-M302952107
820,13800000,H,3,974,Kau To Shan / Fotan,1 Tsun King Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00003', 'name': 'Newly Decorated'}, {'id': 'MISCF00042', 'name': 'Racecourse View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Fo-Tan-Royal-Ascot-Phase-2-Block-11-Higher-Floor-Flat-F-M350634567
