,price,floor_level,bedroom_amount,net_area,district,address,misc,facility,url_desc
0,11500000,H,1,552,Taikoo / Sai Wan Ho,2 Tai Wing Avenue,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00039', 'name': 'Sea View'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Taikoo-Taikoo-Shing-Kwun-Hoi-Terrace-Nam-Hoi-Mansion-Higher-Floor-Flat-H-M150085930
1,8300000,M,2,465,Po Lam / Tseung Kwan O Station,9 Tong Tak Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Park-Central-Phase-2-Block-03-Middle-Floor-Flat-D-M250591554
2,6800000,M,2,363,Po Lam / Tseung Kwan O Station,8 Yan King Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-2-Block-08-Middle-Floor-Flat-C-M200441423
3,19200000,H,3,922,Taikoo / Sai Wan Ho,22 Taikoo Wan Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00036', 'name': 'Garden View'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Taikoo-Taikoo-Shing-Harbour-View-Gardens-West-Willow-Mansion-Higher-Floor-Flat-E-M150163070
4,6880000,M,2,363,Po Lam / Tseung Kwan O Station,8 Yan King Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-2-Block-11-Middle-Floor-Flat-B-M200438082
5,10800000,H,3,813,Lohas Park,1 Lohas Park Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Le-Prestige-Le-Prime-Tower-6-L-Higher-Floor-Flat-B-M250029493
6,6450000,M,2,425,Yuen Long,11 Shap Pat Heung Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-The-Reach-Tower-13-Middle-Floor-Flat-G-M350860944
7,9500000,M,3,675,Tsuen Wan,398 Castle Peak Road Tsuen Wan,"[{'id': 'WITHKEY', 'name': 'Key'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-Town-Centre-Discovery-Park-Phase-1-Block-04-Middle-Floor-Flat-A-M300124963
8,9500000,H,3,677,Lohas Park,1 Lohas Park Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Le-Prestige-Tower-3-L-Higher-Floor-Flat-A-M200130087
9,48000000,L,4,1503,Lai Chi Kok,28 Sham Mong Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Nam-Cheong-Station-Cullinan-West-Phase-2A-Tower-1A-Lower-Floor-Flat-A-M200249768
10,5400000,H,2,304,Shatin,5 Tak Yi Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-City-One-Shek-Mun-City-One-Shatin-Phase-5-Block-50-Higher-Floor-Flat-G-M300699714
11,6780000,M,2,474,Tsuen Wan,398 Castle Peak Road Tsuen Wan,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00002', 'name': 'Well Decorated'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-Town-Centre-Discovery-Park-Phase-1-Block-04-Middle-Floor-Flat-C-M300553123
12,5800000,L,2,304,Shatin,5 Ngan Shing Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-City-One-Shek-Mun-City-One-Shatin-Phase-5-Block-52-Lower-Floor-Flat-G-M350821868
13,7450000,L,2,461,Yuen Long,8 Yuen Lung Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Yoho-Town-Phase-1-Block-8-Lower-Floor-Flat-B-M300227330
14,10500000,H,2,584,Ap Lei Chau,20 South Horizon Drive,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM14', 'name': 'Mall'}, {'id': 'MISCF00048', 'name': 'Golf Course Nearby'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Ap-Lei-Chau-South-Horizons-Phase-3-Block-20-Higher-Floor-Flat-A-M100017002
15,17200000,L,4,889,Ap Lei Chau,10 South Horizon Drive,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Ap-Lei-Chau-South-Horizons-Phase-2-Block-10-Lower-Floor-Flat-G-M100031627
16,5650000,M,2,442,Tin Shui Wai,2 Tin Lung Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-Tin-Shui-Wai-Kingswood-Villas-Kenswood-Court-Block-03-Middle-Floor-Flat-F-M300131058
17,12000000,M,3,893,Yuen Long,9 Yuen Lung Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Yoho-Town-Yoho-Midtown-Block-M8-Middle-Floor-Flat-D-M300347896
18,5400000,H,2,357,Yuen Long,11 Shap Pat Heung Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-The-Reach-Tower-03-Higher-Floor-Flat-F-M301354125
19,7980000,H,1,457,Tsuen Wan,100 Yeung Uk Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-Chelsea-Court-Tower-South-A2-Higher-Floor-Flat-D-M350163582
20,9300000,H,1,521,Tsuen Wan,100 Yeung Uk Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-Chelsea-Court-Tower-North-B2-Higher-Floor-Flat-D-M350546654
21,17500000,H,3,675,Taikoo / Sai Wan Ho,38 Tai Hong Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Sai-Wan-Ho-Grand-Promenade-Block-5-Higher-Floor-Flat-D-M100212346
22,5200000,L,2,353,Tuen Mun,1 Tuen Shing Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Tuen-Mun-Town-Centre-Tuen-Mun-Town-Plaza-Phase-1-Block-3-Lower-Floor-Flat-B-M300050454
23,7980000,M,1,450,Tsuen Wan,100 Yeung Uk Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-Chelsea-Court-Tower-West-B1-Middle-Floor-Flat-E-M300606457
24,12380000,L,3,1034,Tung Chung,1 Ying Hong Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}]",https://www.midland.com.hk/en/property/New-Territories-Tung-Chung-The-Visionary-Tower-08-Lower-Floor-Flat-A-M350199796
25,5400000,L,2,419,Yuen Long,99 Tai Tong Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-Sereno-Verde-Phase-1-Block-02-Lower-Floor-Flat-E-M300570242
26,6990000,L,2,379,Tai Kok Tsui,8 Fuk Lee Street,"[{'id': 'MISCF00014', 'name': 'Terrace'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Nam-Cheong-Station-Metro-Harbour-View-Phase-1-Block-04-Lower-Floor-Flat-B-M250646068
27,11000000,H,3,621,Ap Lei Chau,16 South Horizon Drive,,"[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Ap-Lei-Chau-South-Horizons-Phase-2-Block-16-Higher-Floor-Flat-C-M100356986
28,6000000,L,2,502,Tin Shui Wai,2 Tin Yan Road,"[{'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/New-Territories-Tin-Shui-Wai-Central-Park-Towers-Phase-2-Central-Park-Towers-II-Tower-8-Lower-Floor-Flat-F-M302574753
29,22000000,L,3,1015,Taikoo / Sai Wan Ho,24 Taikoo Wan Road,"[{'id': 'MISCF00015', 'name': 'Balcony'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Taikoo-Taikoo-Shing-Harbour-View-Gardens-West-Banyan-Mansion-Lower-Floor-Flat-G-M150398514
30,12000000,M,3,640,Ap Lei Chau,9 South Horizon Drive,,"[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Ap-Lei-Chau-South-Horizons-Phase-2-Block-09-Middle-Floor-Flat-D-M101723932
31,7800000,M,2,515,Tiu Keng Leng,88 O King Road,"[{'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Ocean-Shores-Phase-1-Block-02-Middle-Floor-Flat-H-M200572493
32,6280000,M,2,494,Tin Shui Wai,2 Tin Yan Road,"[{'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}]",https://www.midland.com.hk/en/property/New-Territories-Tin-Shui-Wai-Central-Park-Towers-Phase-1-Central-Park-Towers-Tower-2-Middle-Floor-Flat-H-M300232700
33,12800000,L,3,601,Tai Kok Tsui,8 Fuk Lee Street,"[{'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Nam-Cheong-Station-Metro-Harbour-View-Phase-1-Block-01-Lower-Floor-Flat-C-M200376718
34,9000000,H,2,642,Mei Foo,10 Broadway,"[{'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/Kowloon-Mei-Foo-Station-Mei-Foo-Sun-Chuen-Phase-I-Broadway-010-Higher-Floor-Flat-A-M300122394
35,10500000,M,2,524,Tsuen Wan,98 Tai Ho Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-Parc-City-Tower-7-Middle-Floor-Flat-D-M350179312
36,5590000,H,1,347,Tuen Mun,8 Leung Tak Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}]",https://www.midland.com.hk/en/property/New-Territories-Tuen-Mun-Town-Centre-Eight-Regency-Higher-Floor-Flat-G-M301325946
37,19000000,M,3,816,Olympic,8 Hoi Fai Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/Kowloon-Olympic-Station-The-Long-Beach-Block-5-Middle-Floor-Flat-A-M250063381
38,40000000,H,4,1274,Mid-Levels West,89 Pok Fu Lam Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00039', 'name': 'Sea View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00031', 'name': 'Close To MTR'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM14', 'name': 'Mall'}, {'id': 'MISCF00048', 'name': 'Golf Course Nearby'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Kennedy-Town-The-Belcher-s-Phase-2-Block-6-Higher-Floor-Flat-F-M150033402
39,7500000,L,2,510,Shatin,2-18 Lok King Street,"[{'id': 'MISCF00049', 'name': 'River View'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}]",https://www.midland.com.hk/en/property/New-Territories-Fo-Tan-Jubilee-Garden-Block-7-Lower-Floor-Flat-F-M303031758
40,9500000,H,1,421,Tsuen Wan,51 Wing Shun Street,"[{'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-The-Pavilia-Bay-Tower-2A-Higher-Floor-Flat-C-M300699207
41,8280000,L,1,389,Tsuen Wan,51 Wing Shun Street,"[{'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-The-Pavilia-Bay-Tower-1B-Lower-Floor-Flat-G-M300459786
42,14300000,H,4,716,Tsuen Wan,100 Yeung Uk Road,"[{'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-West-Chelsea-Court-Tower-West-B1-Higher-Floor-Flat-C-M300622812
