,Balcony,Club House,Garden View,Lux_Revo,MTR nearby,Mountain View,River View,Rooftop,Sea View,Shopping Mall nearby,Swimming,Terrace,bedroom_amount,building,car_parking,floor_level,link,location,net_area,price,price_per,Garden view
11135,,1,,,,,,,1,1,,,3.0,,1,H,https://www.hkp.com.hk/en/property/Hong-Kong-Island-North-Point-North-Point-Mid-Levels-Mainway-Building-High-Floor-Flat-A-H100202501,North Point Mid-Levels,457,7300000,15974.0,
11136,,,,,,,,,,1,1,,4.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Station-The-Cullinan-Sun-Sky-High-Floor-Flat-A-H200014906,Kowloon Station,1530,120000000,78431.0,1
11137,,1,,,,,,,,,1,,2.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Station-The-Arch-Tower-2A-Moon-Tower-Low-Floor-Flat-D-H200015376,Kowloon Station,513,20880000,40702.0,
11138,1,1,,,,1,,,,,1,,2.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Hang-Hau-Maritime-Bay-Block-2-Middle-Floor-Flat-F-H200113221,Hang Hau,427,7900000,18501.0,
11139,1,1,,,,,,,,1,1,,1.0,,,,https://www.hkp.com.hk/en/property/Kowloon-Kai-Tak-Oasis-Kai-Tak-Tower-5-Flat-E-H200153696,Kai Tak,366,9200000,25137.0,
11140,1,1,,,,1,,,,,1,,,,,,https://www.hkp.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-LP6-Tower-3-Flat-C-H200199616,Lohas Park,425,8100000,19059.0,
11141,1,1,,,,,,,1,,1,,2.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Diamond-Hill-San-Po-Kong-Ngau-Chi-Wan-Lions-Rise-Block-5A-Middle-Floor-Flat-A-H200202330,San Po Kong,567,10500000,18519.0,
11142,,,,,,,,,,1,,,1.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Hung-Hom-Upper-East-Block-1A-Low-Floor-Flat-C-H200202436,Hung Hom,285,6000000,21053.0,
11143,,,,,,1,,,,,,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Park-Central-Phase-2-Block-12-High-Floor-Flat-E-H200202448,Tseung Kwan O Town Centre,467,8900000,19058.0,
11144,,1,,,,,,,,,1,,1.0,,,,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Bay-Choi-Hing-Court-Block-C-Flat-1-H200202486,Kowloon Bay,382,0,0.0,
11145,1,1,,,,,,,,,,,,,,M,https://www.hkp.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Ocean-Shores-Phase-1-Block-03-Middle-Floor-H200202505,Tiu Keng Leng,1028,19000000,18482.0,
11146,,,,,,,,,,,1,,1.0,,,,https://www.hkp.com.hk/en/property/Kowloon-To-Kwa-Wan-Artisan-Garden-Flat-A7-H200202520,To Kwa Wan,320,6680000,20875.0,
11147,,,,,,,,,,,,,3.0,,,H,https://www.hkp.com.hk/en/property/New-Territories-Shatin-Greenwood-Garden-Block-B-High-Floor-Flat-4-H300201796,Shatin,215,4080000,18977.0,
11148,1,,,,,,,,,,,,2.0,,,H,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Aberdeen-Wong-Chuk-Hang-Ap-Lei-Chau-Hung-Fuk-Court-Block-A-High-Floor-Flat-5-H100051119,Wong Chuk Hang,407,0,0.0,
11149,,,,,,,,,,,,,3.0,,,M,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Happy-Valley-Jardine-s-Lookout-Broadview-Mansion-Middle-Floor-Flat-A-H100132646,Jardine's Lookout,1024,23800000,23242.0,
11150,,1,,1,1,,,,,1,1,,2.0,,,M,https://www.hkp.com.hk/en/property/Hong-Kong-Island-Aberdeen-Wong-Chuk-Hang-Ap-Lei-Chau-Ka-Lung-Court-Block-C-Middle-Floor-Flat-7-H100202331,Wong Chuk Hang,554,7600000,13718.0,1
11151,1,1,,,,,,,,,1,,3.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Kowloon-Station-The-Waterfront-Phase-1-Block-2-Middle-Floor-Flat-A-H200011197,Kowloon Station,941,18000000,19129.0,
11152,,1,,,,,,,,1,1,,2.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Hang-Hau-Residence-Oasis-Block-5-Middle-Floor-Flat-E-H200037461,Hang Hau,507,8780000,17318.0,
11153,1,,,,,,,,1,,,,,,,H,https://www.hkp.com.hk/en/property/Kowloon-Tai-Kok-Tsui-Metro-Harbour-View-Phase-1-Block-03-High-Floor-Flat-G-H200120996,Tai Kok Tsui,539,10800000,20037.0,
